dataset,model,dice_mean,dice_std,iou_mean,iou_std,precision_mean,precision_std,recall_mean,recall_std,pixel_accuracy_mean,pixel_accuracy_std,source_file
SEAVIEW_IDN_PHL,EPFL_b5,0.7390468905108639,0.2350595683116243,0.6300267872211062,0.2402469189789499,0.7230312758159791,0.22192519507431713,0.8326199812751541,0.22466227950251128,0.8380313519020705,0.1325729170448685,automated_underwater_area_estimation\evaluation_results\SEAVIEW_IDN_PHL\comparison\model_comparison.json
SEAVIEW_PAC_AUS,ReefSupport_yolov8_sm_latest,0.7215917071793154,0.19284617676261273,0.5943163021672432,0.20168150416170308,0.7310466638600732,0.21429359469267245,0.7573460297870255,0.18446684276680458,0.8715086046716954,0.09655534923828007,automated_underwater_area_estimation\evaluation_results\SEAVIEW_PAC_AUS\comparison\model_comparison.json
SEAVIEW_PAC_AUS,ReefSupport_yolov8_xlarge_latest,0.5865992714868483,0.21593375997320718,0.4455093110375986,0.2026344763871351,0.7387922070594103,0.23675162795340426,0.5360302378711964,0.22297064402243477,0.8253923744184546,0.1355520980483858,automated_underwater_area_estimation\evaluation_results\SEAVIEW_PAC_AUS\comparison\model_comparison.json
SEAVIEW_PAC_AUS,CoralSCOP,0.324768861863438,0.23540967787830433,0.2210763795004894,0.19710863950396895,0.866106682743888,0.20264582331385747,0.23221190813579787,0.20877195454317182,0.7579903017330711,0.1989755279213706,automated_underwater_area_estimation\evaluation_results\SEAVIEW_PAC_AUS\comparison\model_comparison.json
SEAVIEW_PAC_AUS,EPFL_b2,0.7230178668341488,0.19420753353929024,0.5961288792163858,0.20042300951096484,0.6918198611832896,0.2083795414370532,0.8080240835439711,0.18082858574099953,0.8668097189378621,0.10325695334602682,automated_underwater_area_estimation\evaluation_results\SEAVIEW_PAC_AUS\comparison\model_comparison.json
SEAVIEW_PAC_AUS,EPFL_b5,0.7341813664446847,0.18186495230792596,0.6074849190039757,0.1947290404919833,0.6713723376539581,0.19694527071265225,0.8657647748522904,0.16771013681377933,0.8653617980751661,0.10098472230414689,automated_underwater_area_estimation\evaluation_results\SEAVIEW_PAC_AUS\comparison\model_comparison.json
SEAVIEW_PAC_USA,ReefSupport_yolov8_sm_latest,0.4649994130618067,0.24610617248924524,0.3370027782086226,0.21612007432626132,0.8911989837761715,0.2173741127184665,0.3629125136429867,0.22898619873233533,0.5566298219368596,0.27446458401275,automated_underwater_area_estimation\evaluation_results\SEAVIEW_PAC_USA\comparison\model_comparison.json
SEAVIEW_PAC_USA,ReefSupport_yolov8_xlarge_latest,0.21822474160073282,0.18239986112181497,0.13622572392073934,0.13641742738066207,0.9352223512817187,0.16432551154605013,0.13997933995363693,0.14011581770175768,0.41396361726923375,0.336930136071331,automated_underwater_area_estimation\evaluation_results\SEAVIEW_PAC_USA\comparison\model_comparison.json
SEAVIEW_PAC_USA,CoralSCOP,0.09224820985522836,0.15480886156100948,0.05769212714545934,0.11753692059611975,0.9565249404356373,0.14745361212011987,0.059067334402324624,0.12160634402550208,0.36463247863345893,0.35957775610308007,automated_underwater_area_estimation\evaluation_results\SEAVIEW_PAC_USA\comparison\model_comparison.json
SEAVIEW_PAC_USA,EPFL_b2,0.664542699518535,0.23121971346213033,0.5382676197740865,0.23896686158862626,0.8976587738276044,0.19725254010720675,0.5706200316458702,0.23359324984929966,0.7346391926473518,0.17827186126710293,automated_underwater_area_estimation\evaluation_results\SEAVIEW_PAC_USA\comparison\model_comparison.json
