dataset_name,model_name,total_images,dice_mean,dice_std,dice_min,dice_max,iou_mean,iou_std,iou_min,iou_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,pixel_accuracy_mean,pixel_accuracy_std,pixel_accuracy_min,pixel_accuracy_max
SEAFLOWER_BOLIVAR,CoralSCOP,246,0.4103551844690732,0.38525728891257105,1.1854093282057804e-13,1.0,0.3457975457821364,0.3682653628305274,1.1854093282057804e-13,1.0,0.949899237028093,0.15716241131363387,1.2222100068126629e-11,1.0,0.3514089600666123,0.3731293480011327,1.1854093282057804e-13,1.0,0.8247894198308147,0.16496475837868618,0.2223682552576065,1.0
SEAFLOWER_BOLIVAR,EPFL_b2,246,0.7503833666016043,0.2326387618490292,5.014361321997729e-13,0.9871109127998352,0.6452388749985571,0.24569432663244078,5.014361321997729e-13,0.9745497107505798,0.7627520423412828,0.2098872097015269,5.014361321997729e-13,1.0,0.8084519397979886,0.2456872927987244,0.0009042727178893983,1.0,0.8975709384776712,0.0979698107010589,0.3578229248523712,0.9968252182006836
SEAFLOWER_BOLIVAR,EPFL_b5,246,0.7438333350956845,0.2276422311946431,2.7241639391321903e-13,0.9901301264762878,0.6367503422145872,0.25128627902265915,2.7241639391321903e-13,0.9804532527923584,0.705153309217678,0.23773288023190664,2.7241639391321903e-13,0.9874959588050842,0.85715041211068,0.2124027993574307,0.002746188547462225,1.0,0.888371091305725,0.09630937542950306,0.4787368178367615,0.9974595904350281
SEAFLOWER_COURTOWN,CoralSCOP,241,0.09481553899975201,0.17467740713773863,3.8243594489145716e-13,0.9816470146179199,0.06199238848743793,0.13677424353583129,3.8243594489145716e-13,0.9639555215835571,0.9243206744297917,0.21721381391653205,7.983521829735274e-12,1.0,0.06340375016507499,0.13978650921185515,3.8243594489145716e-13,0.9667795896530151,0.8331166623291633,0.16402384209569448,0.2648642063140869,0.9997731447219849
SEAFLOWER_COURTOWN,EPFL_b2,241,0.5445975454443996,0.30701800449683936,2.319846571785522e-12,0.9614205360412598,0.432178643668148,0.2797616249294248,2.319846571785522e-12,0.9257072806358337,0.6559154775445021,0.33738198532119323,2.372648084947304e-12,1.0,0.523099845259643,0.2974767666154458,3.770610993575341e-12,0.9487811326980591,0.9083656755225787,0.08004888358666082,0.5832924842834473,0.9993668794631958
SEAFLOWER_COURTOWN,EPFL_b5,241,0.5724637769638361,0.3064273502594431,1.5003818500114452e-12,0.9751890301704407,0.4624055995186981,0.29186853525511447,1.5003818500114452e-12,0.9515794515609741,0.6780883245291336,0.31867044626172225,5.114069324269055e-12,1.0,0.5672209660506651,0.3067300438445457,1.5047029377698862e-12,0.9741010665893555,0.9121104734814514,0.09056349910180102,0.39856716990470886,0.9996340870857239
SEAVIEW_ATL,CoralSCOP,705,0.24000663384921736,0.240566035857122,3.500500941628487e-13,1.0,0.16268414536388262,0.19678722446271396,3.500500941628487e-13,1.0,0.8555761014598017,0.25093804282854304,1.749597515476875e-11,1.0,0.1707899961534264,0.2049096311608987,3.500500941628487e-13,1.0,0.8181970286665233,0.14642310465669334,0.18354956805706024,1.0
SEAVIEW_ATL,EPFL_b2,705,0.6415947629756497,0.21401551747200512,6.884112637578488e-12,1.0,0.5052631758705057,0.21282008658302867,6.884112637578488e-12,1.0,0.7390237616948023,0.2144984278937185,6.884112637578488e-12,1.0,0.6398348126181576,0.23934350678093527,2.3014430639012318e-11,1.0,0.8899948875109355,0.08248691483568488,0.5119510293006897,1.0
SEAVIEW_ATL,EPFL_b5,705,0.6805390750880419,0.20745786211700273,3.421072453102525e-12,1.0,0.5485008844996868,0.21212470522657104,3.421072453102525e-12,1.0,0.7773408434147298,0.21014386706773233,3.421072453102525e-12,1.0,0.6646680230208306,0.2217152208773918,4.241421797113176e-11,1.0,0.9024111099276982,0.07766429897353898,0.4300767183303833,1.0
SEAVIEW_IDN_PHL,CoralSCOP,466,0.16022837764821174,0.22335119123841773,4.273396415378772e-13,0.9920217990875244,0.10904363367511372,0.1849761184708696,4.273396415378772e-13,0.9841699004173279,0.8482259949600376,0.2779105840968287,5.582132846237986e-12,1.0,0.11265335245704365,0.1900342625164953,4.273396415378772e-13,0.9954266548156738,0.6244273935914312,0.2578899949136827,0.0060383896343410015,0.9997844696044922
SEAVIEW_IDN_PHL,EPFL_b2,466,0.7154309944527761,0.2388623867584587,1.7779484481894592e-12,0.9878221750259399,0.6011941222211195,0.24291147676802674,1.7779484481894592e-12,0.9759373664855957,0.7127672161044849,0.23817860221105935,1.8024382984413445e-12,1.0,0.7960801386702716,0.23518835786424513,2.1787441642495686e-11,0.9997965693473816,0.8183318370945208,0.15261801862447247,0.0871187373995781,0.999377965927124
SEAVIEW_IDN_PHL,EPFL_b5,466,0.7390468905108639,0.23531218479324317,1.1323361519266495e-11,0.9979881644248962,0.6300267872211062,0.24050511026139018,1.1323361519266495e-11,0.9959844350814819,0.7230312758159791,0.2221636961588079,1.14934598297034e-11,1.0,0.8326199812751541,0.22490372210792423,2.1787441642495686e-11,0.9999432563781738,0.8380313519020705,0.13271539201026716,0.11074047535657883,0.9992891550064087
SEAVIEW_PAC_AUS,CoralSCOP,808,0.324768861863438,0.2355554875410169,5.890655259584154e-13,1.0,0.2210763795004894,0.19723072600654115,5.890655259584154e-13,1.0,0.866106682743888,0.2027713394753586,3.5534075681908917e-11,1.0,0.23221190813579787,0.20890126514989857,5.890655259584154e-13,1.0,0.7579903017330711,0.19909877075010965,0.006231526844203472,1.0
SEAVIEW_PAC_AUS,EPFL_b2,808,0.7230178668341488,0.19432782313492972,1.0151428309068677e-12,0.9968745112419128,0.5961288792163858,0.20054714889078992,1.0151428309068677e-12,0.9937684535980225,0.6918198611832896,0.20850860898825574,1.0151428309068677e-12,1.0,0.8080240835439711,0.18094058859208587,1.3599706430444947e-11,1.0,0.8668097189378621,0.10332090934679877,0.07326515018939972,0.9990206956863403
SEAVIEW_PAC_AUS,EPFL_b5,808,0.7341813664446847,0.1819775970708527,1.0053615925875725e-12,0.9968745112419128,0.6074849190039757,0.19484965310218005,1.0053615925875725e-12,0.9937684535980225,0.6713723376539581,0.19706725602674072,1.0053615925875725e-12,1.0,0.8657647748522904,0.16781401426989198,1.7771459304150028e-10,1.0,0.8653617980751661,0.10104727091485398,0.06424883008003235,0.9994208216667175
SEAVIEW_PAC_USA,CoralSCOP,728,0.09224820985522836,0.15491529599198145,1.6564932747969302e-13,1.0,0.05769212714545934,0.11761772976386184,1.6564932747969302e-13,1.0,0.9565249404356373,0.14755498965847597,7.924558231842127e-11,1.0,0.059067334402324624,0.12168995100961412,1.6564932747969302e-13,1.0,0.36463247863345893,0.35982497356514975,0.0,1.0
SEAVIEW_PAC_USA,EPFL_b2,728,0.664542699518535,0.2313786820016809,5.1195675303261634e-12,1.0,0.5382676197740865,0.23913115645959082,5.1195675303261634e-12,1.0,0.8976587738276044,0.1973881554825308,1.0772031704131546e-11,1.0,0.5706200316458702,0.23375385024630474,5.1195675303261634e-12,1.0,0.7346391926473518,0.17839442701638208,0.02494260109961033,1.0
