image,precision,recall,iou,dice,edge_precision,edge_recall,edge_iou,edge_dice
..\data_preprocessed\IBF\images\Zona Inti Meno 2_PB100626.JPG,0.9590004682540894,0.9946544170379639,0.9540831446647644,0.9765021204948425,0.5634675025939941,0.5502588748931885,0.3857947587966919,0.5567848682403564
..\data_preprocessed\IBF\images\Zona Inti Meno 2_PB100627.JPG,0.9730111360549927,0.9916239380836487,0.9650793075561523,0.9822293519973755,0.6272620558738708,0.6162438988685608,0.4510672688484192,0.6217041611671448
..\data_preprocessed\IBF\images\Zona Inti Meno 2_PB100628.JPG,0.9722086191177368,0.9902991652488708,0.9630370140075684,0.9811705350875854,0.6210313439369202,0.6096333861351013,0.44433486461639404,0.6152795553207397
..\data_preprocessed\IBF\images\Zona Inti Meno 2_PB100629.JPG,0.9674454927444458,0.9956362247467041,0.963360607624054,0.9813384413719177,0.6017522215843201,0.585935115814209,0.4222104251384735,0.593738317489624
..\data_preprocessed\IBF\images\Zona Inti Meno 2_PB100630.JPG,0.9675242900848389,0.9933993220329285,0.9613440036773682,0.9802910685539246,0.5949938297271729,0.5832012295722961,0.41747310757637024,0.5890384912490845
..\data_preprocessed\IBF\images\Zona Inti Meno 2_PB100631.JPG,0.9656766057014465,0.9923871159553528,0.9585754871368408,0.9788496494293213,0.5696653723716736,0.5566738843917847,0.39188018441200256,0.5630946755409241
..\data_preprocessed\IBF\images\Zona Inti Meno 2_PB100632.JPG,0.9728333353996277,0.9925016760826111,0.9657354354858398,0.9825690984725952,0.6180385947227478,0.6048596501350403,0.4402768909931183,0.6113781332969666
..\data_preprocessed\IBF\images\Zona Inti Meno 2_PB100633.JPG,0.9720739126205444,0.9928022027015686,0.9652711749076843,0.9823287129402161,0.6238672137260437,0.6125775575637817,0.4473569095134735,0.6181708574295044
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120274.JPG,0.9683083295822144,0.9900858998298645,0.9590097665786743,0.9790760278701782,0.6374269127845764,0.6236306428909302,0.46033722162246704,0.6304532885551453
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120276.JPG,0.9652758240699768,0.9932290315628052,0.9589654803276062,0.9790529608726501,0.6768473982810974,0.6696410179138184,0.5074145197868347,0.673224925994873
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120278.JPG,0.9698352813720703,0.9870921969413757,0.9576897025108337,0.9783876538276672,0.5576362013816833,0.5467798709869385,0.38136303424835205,0.5521546602249146
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120280.JPG,0.9544124603271484,0.9644027948379517,0.921934187412262,0.959381639957428,0.5673242807388306,0.511593759059906,0.36800745129585266,0.5380196571350098
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120286.JPG,0.9588128328323364,0.9759220480918884,0.9366554617881775,0.9672917723655701,0.5777963995933533,0.5349582433700562,0.38461270928382874,0.5555527806282043
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120287.JPG,0.9611308574676514,0.9879848957061768,0.9500264525413513,0.9743728637695312,0.5674381256103516,0.5670610070228577,0.3959164619445801,0.5672495365142822
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120288.JPG,0.9649578332901001,0.9909079074859619,0.9564890265464783,0.9777606725692749,0.6293676495552063,0.6207913756370544,0.45459845662117004,0.6250500679016113
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120289.JPG,0.9634485244750977,0.9879845976829529,0.9522905945777893,0.975562334060669,0.6068055629730225,0.5945722460746765,0.4292111396789551,0.6006266474723816
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120290.JPG,0.9630014896392822,0.991418182849884,0.955040454864502,0.977003276348114,0.5926297307014465,0.5813899040222168,0.41538411378860474,0.5869560241699219
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120291.JPG,0.9531717896461487,0.9962220191955566,0.9497387409210205,0.9742215275764465,0.5132763385772705,0.5001558661460876,0.33925390243530273,0.5066311955451965
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120292.JPG,0.9672909379005432,0.9878520965576172,0.9559202194213867,0.97746342420578,0.5949822664260864,0.586483359336853,0.41914650797843933,0.5907022356987
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120293.JPG,0.975441038608551,0.9883525967597961,0.9643555283546448,0.9818543791770935,0.6622984409332275,0.6538814306259155,0.49038296937942505,0.6580630540847778
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120294.JPG,0.9639763832092285,0.9909482598304749,0.9555623531341553,0.9772762656211853,0.5444183945655823,0.5355758666992188,0.3698263466358185,0.5399609208106995
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120295.JPG,0.9646124839782715,0.9914456605911255,0.95665043592453,0.9778450131416321,0.5718738436698914,0.5589661002159119,0.39406463503837585,0.5653463006019592
